date,_TEMG001
30NOV1999,99
01DEC1999,85
02DEC1999,81
03DEC1999,107
06DEC1999,87
07DEC1999,69
08DEC1999,77
09DEC1999,94
10DEC1999,74
13DEC1999,46
14DEC1999,72
15DEC1999,75
16DEC1999,46
17DEC1999,61
20DEC1999,60
21DEC1999,62
22DEC1999,50
23DEC1999,63
27DEC1999,48
28DEC1999,63
29DEC1999,66
30DEC1999,66
31DEC1999,51
03JAN2000,81
04JAN2000,58
05JAN2000,81
06JAN2000,85
07JAN2000,88
10JAN2000,82
11JAN2000,85
12JAN2000,91
13JAN2000,87
14JAN2000,86
18JAN2000,56
19JAN2000,57
20JAN2000,103
21JAN2000,78
24JAN2000,77
25JAN2000,68
26JAN2000,55
27JAN2000,56
28JAN2000,75
31JAN2000,83
01FEB2000,54
02FEB2000,53
03FEB2000,62
04FEB2000,77
07FEB2000,77
08FEB2000,77
09FEB2000,73
10FEB2000,56
11FEB2000,44
14FEB2000,53
15FEB2000,78
16FEB2000,43
17FEB2000,47
18FEB2000,36
22FEB2000,74
23FEB2000,48
24FEB2000,47
25FEB2000,44
28FEB2000,44
29FEB2000,38
01MAR2000,93
02MAR2000,83
03MAR2000,70
06MAR2000,68
07MAR2000,56
08MAR2000,61
09MAR2000,52
10MAR2000,71
13MAR2000,63
14MAR2000,60
15MAR2000,49
16MAR2000,36
17MAR2000,48
20MAR2000,64
21MAR2000,104
22MAR2000,122
23MAR2000,119
24MAR2000,82
27MAR2000,73
28MAR2000,57
29MAR2000,72
30MAR2000,104
31MAR2000,86
03APR2000,68
04APR2000,7
05APR2000,82
06APR2000,70
07APR2000,70
10APR2000,67
11APR2000,104
12APR2000,128
13APR2000,97
14APR2000,100
17APR2000,64
18APR2000,62
19APR2000,53
20APR2000,90
24APR2000,78
25APR2000,70
26APR2000,61
27APR2000,62
28APR2000,63
01MAY2000,53
02MAY2000,52
03MAY2000,78
04MAY2000,66
05MAY2000,64
08MAY2000,62
09MAY2000,83
10MAY2000,104
11MAY2000,79
12MAY2000,82
15MAY2000,72
16MAY2000,66
17MAY2000,59
18MAY2000,61
19MAY2000,98
22MAY2000,116
23MAY2000,93
24MAY2000,101
25MAY2000,71
26MAY2000,62
30MAY2000,101
31MAY2000,84
01JUN2000,93
02JUN2000,80
05JUN2000,62
06JUN2000,66
07JUN2000,74
08JUN2000,73
09JUN2000,58
12JUN2000,53
13JUN2000,50
14JUN2000,50
15JUN2000,44
16JUN2000,46
19JUN2000,63
20JUN2000,86
21JUN2000,94
22JUN2000,84
23JUN2000,78
26JUN2000,49
27JUN2000,44
28JUN2000,71
29JUN2000,57
30JUN2000,57
03JUL2000,31
05JUL2000,67
06JUL2000,63
07JUL2000,69
10JUL2000,97
11JUL2000,89
12JUL2000,65
13JUL2000,78
14JUL2000,58
17JUL2000,59
18JUL2000,47
19JUL2000,69
20JUL2000,66
21JUL2000,59
24JUL2000,80
25JUL2000,60
26JUL2000,47
27JUL2000,67
28JUL2000,56
31JUL2000,59
01AUG2000,38
02AUG2000,53
03AUG2000,70
04AUG2000,56
07AUG2000,50
08AUG2000,55
09AUG2000,49
10AUG2000,30
11AUG2000,43
14AUG2000,33
15AUG2000,42
16AUG2000,34
17AUG2000,54
18AUG2000,35
21AUG2000,49
22AUG2000,53
23AUG2000,61
24AUG2000,62
25AUG2000,52
28AUG2000,60
29AUG2000,66
30AUG2000,86
31AUG2000,57
01SEP2000,74
05SEP2000,60
06SEP2000,49
07SEP2000,57
08SEP2000,44
11SEP2000,36
12SEP2000,33
13SEP2000,45
14SEP2000,50
15SEP2000,46
18SEP2000,47
19SEP2000,43
20SEP2000,44
21SEP2000,55
22SEP2000,72
25SEP2000,49
26SEP2000,45
27SEP2000,59
28SEP2000,67
29SEP2000,194
02OCT2000,173
03OCT2000,147
04OCT2000,133
05OCT2000,102
06OCT2000,114
09OCT2000,77
10OCT2000,93
11OCT2000,112
12OCT2000,116
13OCT2000,103
16OCT2000,72
17OCT2000,73
18OCT2000,75
19OCT2000,103
20OCT2000,86
23OCT2000,73
24OCT2000,80
25OCT2000,74
26OCT2000,77
27OCT2000,67
30OCT2000,75
31OCT2000,73
01NOV2000,86
02NOV2000,87
03NOV2000,82
06NOV2000,69
07NOV2000,51
08NOV2000,63
09NOV2000,52
10NOV2000,41
13NOV2000,63
14NOV2000,66
15NOV2000,49
16NOV2000,49
17NOV2000,65
20NOV2000,64
21NOV2000,46
22NOV2000,50
24NOV2000,33
27NOV2000,62
28NOV2000,41
29NOV2000,21
30NOV2000,79
01DEC2000,72
04DEC2000,44
05DEC2000,54
06DEC2000,112
07DEC2000,90
08DEC2000,74
11DEC2000,63
12DEC2000,60
13DEC2000,56
14DEC2000,57
15DEC2000,69
18DEC2000,58
19DEC2000,42
20DEC2000,71
21DEC2000,59
22DEC2000,49
26DEC2000,41
27DEC2000,51
28DEC2000,61
29DEC2000,61
02JAN2001,43
03JAN2001,72
04JAN2001,80
05JAN2001,57
08JAN2001,49
09JAN2001,71
10JAN2001,61
11JAN2001,74
12JAN2001,55
16JAN2001,53
17JAN2001,67
18JAN2001,59
19JAN2001,59
22JAN2001,50
23JAN2001,74
24JAN2001,69
25JAN2001,50
26JAN2001,42
29JAN2001,72
30JAN2001,51
31JAN2001,65
01FEB2001,49
02FEB2001,59
05FEB2001,37
06FEB2001,35
07FEB2001,45
08FEB2001,32
09FEB2001,31
12FEB2001,37
13FEB2001,34
14FEB2001,38
15FEB2001,26
16FEB2001,25
20FEB2001,39
21FEB2001,44
22FEB2001,33
23FEB2001,33
26FEB2001,28
27FEB2001,29
28FEB2001,26
01MAR2001,49
02MAR2001,45
05MAR2001,51
06MAR2001,63
07MAR2001,37
08MAR2001,40
09MAR2001,28
12MAR2001,51
13MAR2001,45
14MAR2001,46
15MAR2001,57
16MAR2001,42
19MAR2001,59
20MAR2001,39
21MAR2001,36
22MAR2001,61
23MAR2001,80
26MAR2001,70
27MAR2001,41
28MAR2001,40
29MAR2001,65
30MAR2001,44
02APR2001,32
03APR2001,60
04APR2001,61
05APR2001,45
06APR2001,41
09APR2001,45
10APR2001,45
11APR2001,40
12APR2001,51
16APR2001,24
17APR2001,38
18APR2001,61
19APR2001,74
20APR2001,56
23APR2001,57
24APR2001,47
25APR2001,43
26APR2001,66
27APR2001,49
30APR2001,66
01MAY2001,43
02MAY2001,52
03MAY2001,50
04MAY2001,41
07MAY2001,41
08MAY2001,39
09MAY2001,38
10MAY2001,48
11MAY2001,36
14MAY2001,32
15MAY2001,27
16MAY2001,27
17MAY2001,31
18MAY2001,41
21MAY2001,49
22MAY2001,54
23MAY2001,42
24MAY2001,29
25MAY2001,33
29MAY2001,60
30MAY2001,65
31MAY2001,63
01JUN2001,39
04JUN2001,32
05JUN2001,20
06JUN2001,29
07JUN2001,21
08JUN2001,20
11JUN2001,30
12JUN2001,29
13JUN2001,31
14JUN2001,24
15JUN2001,28
18JUN2001,24
19JUN2001,27
20JUN2001,42
21JUN2001,32
22JUN2001,34
25JUN2001,41
26JUN2001,14
27JUN2001,23
28JUN2001,38
29JUN2001,49
02JUL2001,27
03JUL2001,12
05JUL2001,11
06JUL2001,40
09JUL2001,21
10JUL2001,33
11JUL2001,22
12JUL2001,39
13JUL2001,46
16JUL2001,19
17JUL2001,40
18JUL2001,55
19JUL2001,57
20JUL2001,43
23JUL2001,42
24JUL2001,39
25JUL2001,38
26JUL2001,43
27JUL2001,32
30JUL2001,29
31JUL2001,42
01AUG2001,33
02AUG2001,17
03AUG2001,9
06AUG2001,16
07AUG2001,25
08AUG2001,34
09AUG2001,28
10AUG2001,15
13AUG2001,4
14AUG2001,14
15AUG2001,25
16AUG2001,22
17AUG2001,21
20AUG2001,33
21AUG2001,72
22AUG2001,34
23AUG2001,31
24AUG2001,14
27AUG2001,22
28AUG2001,18
29AUG2001,14
30AUG2001,35
31AUG2001,13
04SEP2001,29
05SEP2001,24
06SEP2001,29
07SEP2001,20
10SEP2001,45
17SEP2001,37
18SEP2001,30
19SEP2001,37
20SEP2001,39
21SEP2001,58
24SEP2001,47
25SEP2001,43
26SEP2001,76
27SEP2001,30
28SEP2001,26
01OCT2001,29
02OCT2001,23
03OCT2001,40
04OCT2001,41
05OCT2001,24
08OCT2001,24
09OCT2001,13
10OCT2001,21
11OCT2001,20
12OCT2001,36
15OCT2001,18
16OCT2001,18
17OCT2001,24
18OCT2001,28
19OCT2001,23
22OCT2001,38
23OCT2001,32
24OCT2001,28
25OCT2001,20
26OCT2001,22
29OCT2001,24
30OCT2001,10
31OCT2001,18
01NOV2001,25
02NOV2001,5
05NOV2001,29
06NOV2001,30
07NOV2001,37
08NOV2001,38
09NOV2001,19
12NOV2001,23
13NOV2001,21
14NOV2001,28
15NOV2001,13
16NOV2001,22
19NOV2001,31
20NOV2001,16
21NOV2001,9
23NOV2001,8
26NOV2001,45
27NOV2001,35
28NOV2001,23
29NOV2001,23
30NOV2001,26
03DEC2001,12
04DEC2001,30
05DEC2001,62
06DEC2001,45
07DEC2001,29
10DEC2001,29
11DEC2001,39
12DEC2001,21
13DEC2001,15
14DEC2001,22
17DEC2001,19
18DEC2001,26
19DEC2001,31
20DEC2001,29
21DEC2001,20
24DEC2001,9
26DEC2001,23
27DEC2001,23
28DEC2001,33
31DEC2001,31
02JAN2002,36
03JAN2002,31
04JAN2002,36
07JAN2002,52
08JAN2002,45
09JAN2002,40
10JAN2002,47
11JAN2002,25
14JAN2002,21
15JAN2002,4
16JAN2002,22
17JAN2002,42
18JAN2002,54
22JAN2002,30
23JAN2002,36
24JAN2002,29
25JAN2002,26
28JAN2002,24
29JAN2002,21
30JAN2002,34
31JAN2002,33
01FEB2002,40
04FEB2002,43
05FEB2002,68
06FEB2002,41
07FEB2002,27
08FEB2002,18
11FEB2002,34
12FEB2002,14
13FEB2002,18
14FEB2002,23
15FEB2002,20
19FEB2002,35
20FEB2002,37
21FEB2002,37
22FEB2002,35
25FEB2002,43
26FEB2002,15
27FEB2002,53
28FEB2002,34
01MAR2002,27
04MAR2002,36
05MAR2002,28
06MAR2002,22
07MAR2002,20
08MAR2002,32
11MAR2002,18
13MAR2002,8
14MAR2002,19
15MAR2002,14
18MAR2002,20
19MAR2002,32
20MAR2002,14
21MAR2002,37
22MAR2002,8
25MAR2002,8
26MAR2002,25
27MAR2002,4
28MAR2002,4
01APR2002,12
03APR2002,26
04APR2002,33
05APR2002,21
08APR2002,17
09APR2002,21
10APR2002,14
